NOMENCLATURA,TITULO,TIPO,FORMATO,URL
CP-SM-35-2024-ELSE-1,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=8abbb5a6-f675-42df-a1e0-04a28d54cd40
CP-SM-35-2024-ELSE-1,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=b282c3ec-3895-4bf8-beec-acc28359a8b5
CP-SM-35-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=b8edabd6-a645-4e8e-b6d3-15975770a317
CP-SM-35-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152582415
CP-SM-35-2024-ELSE-1,Archivos de la garantía del contrato,contractAnnexe,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152582421
SIE-SIE-8-2024-ELSE-1,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=193a9ca3-f7ba-42b9-b393-75c80d69c034
SIE-SIE-8-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=3f59457d-5a8d-4634-a3cb-b8e1fdbf12d5
SIE-SIE-8-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=fd651c79-1225-49a0-b60d-dd507fdf000c
SIE-SIE-8-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152568289
CP-SM-54-2024-ELSE-1,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=0fc3c35c-7fde-4eb5-99cd-93c8ad03144e
CP-SM-54-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=4d219d30-b188-416b-9371-1548bb38a72f
CP-SM-54-2024-ELSE-1,Pliego de absolución de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=d26061b4-5ad7-4bbe-9634-09dbf8f3e338
CP-SM-54-2024-ELSE-1,Bases Integradas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=9fa09cc9-84d2-4f92-bd50-10ab28361669
CP-SM-54-2024-ELSE-1,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=03cde3bc-6a5a-447b-a7ab-bc8b6f4715c0
CP-SM-54-2024-ELSE-1,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=2e60517f-969d-4168-bbdb-37761259c293
CP-SM-54-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=cfee0950-ae4d-416f-b07e-d87817b51717
CP-SM-54-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152600511
CP-SM-54-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152600510
CP-SM-54-2024-ELSE-1,Documento contrato,,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152847351
CP-SM-54-2024-ELSE-1,Documento contrato,,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152847354
AS-SM-51-2023-ELSE-2,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=55de38cc-2e1f-4be9-937f-d926d4d205f8
AS-SM-51-2023-ELSE-2,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=94b9bc90-3962-4264-81fb-6b40b6eb587b
AS-SM-51-2023-ELSE-2,Informe que sustenta la declaratoria de Desierto,evaluationReports,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=b161b9dc-ac8a-4ec2-a9e4-e6bfe6a04507
AS-SM-51-2023-ELSE-2,Pliego de absolución de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=648d04ca-b8b4-4b99-8445-7705b9ab260b
AS-SM-51-2023-ELSE-2,Bases Integradas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=1d180daf-dc8e-40b5-a17f-7f86215d9c17
AS-SM-51-2023-ELSE-2,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=9fa4fa01-0bb0-4e65-a860-83f1bf2cc690
AS-SM-51-2023-ELSE-2,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=67493427-04c4-4835-a373-a72a92ff6a6f
AS-SM-51-2023-ELSE-2,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=5709d2fb-3ef9-4c2d-a086-bf9e7ee44844
AS-SM-51-2023-ELSE-2,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152597412
AS-SM-51-2023-ELSE-2,Documento contrato,,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152847341
LP-SM-1-2024-ELSE-1,Bases Administrativas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=87f11114-5de1-4ddf-9bc3-671a972aca1f
LP-SM-1-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=672458f7-5788-43e5-a540-6328dbdb21f6
LP-SM-1-2024-ELSE-1,Pliego de absolución de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=26b592dd-6561-4d90-a84f-b0dc7663bd44
LP-SM-1-2024-ELSE-1,Bases Integradas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=14b3e20f-951a-4b8d-bf34-12af7446c580
LP-SM-1-2024-ELSE-1,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=24adb36a-6c5b-4d02-830b-aec15643fefc
LP-SM-1-2024-ELSE-1,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=28eca07e-0afc-4860-a3ca-33a500959a86
LP-SM-1-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=89321407-8a3d-4e25-b20c-5f34c7271b87
LP-SM-1-2024-ELSE-1,Archivos de la garantía del contrato,contractAnnexe,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152597518
LP-SM-1-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152597499
LP-SM-1-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152597500
LP-SM-1-2024-ELSE-1,Documento contrato,,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152791934
CP-SM-40-2024-ELSE-1,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=c60d8881-dab5-4139-ae61-3fad6c10bbd9
CP-SM-40-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=ee6462c3-7f04-422e-ae06-5e6247d63fbb
CP-SM-40-2024-ELSE-1,Pliego de absolución de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=f4d8966c-43b0-4bf1-b480-8b4892bb7989
CP-SM-40-2024-ELSE-1,Bases Integradas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=8897dcc8-5338-4f5f-8560-efbcc9012e3b
CP-SM-40-2024-ELSE-1,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=d916e1df-a93a-4777-b2cb-9ceefd1185e7
CP-SM-40-2024-ELSE-1,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=6c65adc6-d6b7-4381-97f6-6bffc503d8ae
CP-SM-40-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=e8e5f250-f8f2-4d30-ae71-763affccbcc8
CP-SM-40-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152607892
CP-SM-40-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152607891
CP-SM-7-2024-ELSE-1,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=63e8dceb-1793-4b63-9832-bb0281056ce1
CP-SM-7-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=f98b68d2-6bf1-46b3-8bb5-b460349728a2
CP-SM-7-2024-ELSE-1,Acta de no formulación de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=76d54228-28ea-49c1-8a77-bb4a80ec39e5
CP-SM-7-2024-ELSE-1,Bases Integradas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=1b1891bf-e051-42f1-bae4-b4e6d18d3a5f
CP-SM-7-2024-ELSE-1,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=4698b2a2-b7ee-4962-ac06-7893ade2698e
CP-SM-7-2024-ELSE-1,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=e7f7ebb1-4d3c-4107-987c-d7c0ec3e7b52
CP-SM-7-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=c4816c49-2ad6-4cd0-96bd-98588620bd51
CP-SM-7-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152603378
CP-SM-18-2024-ELSE-1,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=88b6313f-d85d-450f-9320-6eddfd36c3f1
CP-SM-18-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=1958f48b-dc95-451e-a5bc-f16ef6d42ed1
CP-SM-18-2024-ELSE-1,Pliego de absolución de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=f7937e18-99e1-49de-951a-16422afcfb6d
CP-SM-18-2024-ELSE-1,Bases Integradas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=3cc18349-93cf-4435-b27e-ba058728dc43
CP-SM-18-2024-ELSE-1,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=c4a1da57-3c3e-4208-8435-edd11bc35e3a
CP-SM-18-2024-ELSE-1,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=f81b8beb-aff5-423f-a9ff-1ca253902a42
CP-SM-18-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=b1dc3955-bcf3-4925-8fef-139b3af8c6f0
CP-SM-18-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152597422
CP-SM-18-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152597421
SIE-SIE-6-2024-ELSE-1,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=102aa375-13bf-49c7-ae42-2afbd16a4ea5
SIE-SIE-6-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=bfa94168-1cb9-4cf9-81d2-0a523823cc42
SIE-SIE-6-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=74ea5ef3-a283-4f6d-aab8-4b5142331d70
SIE-SIE-6-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152596097
CP-SM-36-2024-ELSE-1,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=def4606e-76d9-40a8-b33d-7bd2474f7dd7
CP-SM-36-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=9c2d7ebd-8265-46a7-a840-c162db4df6d1
CP-SM-36-2024-ELSE-1,Pliego de absolución de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=a0708e31-199c-4d54-bd60-fb1900fe6c44
CP-SM-36-2024-ELSE-1,Bases Integradas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=f67f1e77-8a52-46d1-861b-d483e4c30676
CP-SM-36-2024-ELSE-1,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=36baec1b-924b-47bc-9661-3f343c7f3dc3
CP-SM-36-2024-ELSE-1,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=580df256-eb16-4bc3-b564-a1078efbfc99
CP-SM-36-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=ec2b729b-909d-44b9-b3d4-dad691abb73d
CP-SM-36-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152589275
CP-SM-36-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152589276
CP-SM-5-2024-ELSE-1,Bases Administrativas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=ad4327d4-9198-41c2-b4d9-0d6f55a75efb
CP-SM-5-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=2b45e128-827b-4966-97cb-786f6e0f4dec
CP-SM-5-2024-ELSE-1,Pliego de absolución de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=92f85eb2-7882-44b6-a3fe-a14da3fdef51
CP-SM-5-2024-ELSE-1,Bases Integradas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=9f2ee521-7308-443e-877e-379fe5ca3b09
CP-SM-5-2024-ELSE-1,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=1c9161c9-a87f-44c4-a82e-7d46ba046fb2
CP-SM-5-2024-ELSE-1,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=27bfd92b-20c1-4fe9-a034-40996246e4c3
CP-SM-5-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=f9ec4685-c4eb-4dfb-82dc-564210e6e1c1
CP-SM-5-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152579310
CP-SM-5-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152579309
CP-SM-5-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152585807
CP-SM-5-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152585808
CP-SM-6-2024-ELSE-1,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=1a194372-db9e-44e1-89ab-b4c58d3403b8
CP-SM-6-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=4174af7d-f92a-41a4-98fd-02dcf7cdcc21
CP-SM-6-2024-ELSE-1,Pliego de absolución de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=8e214713-d32b-4f3b-895d-2ecbd628147b
CP-SM-6-2024-ELSE-1,Bases Integradas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=5509f515-0eca-472e-977f-6c06ae89c579
CP-SM-6-2024-ELSE-1,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=8b94e15e-d338-4ff5-a539-6a882543e7a4
CP-SM-6-2024-ELSE-1,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=f78345ef-bdf7-481b-8dbb-683fed80b253
CP-SM-6-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=bb95671b-a7f1-4f9b-a01c-e3dc77f0d694
CP-SM-6-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152585767
LP-SM-1-2024-ELSE-1,Bases Administrativas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=87f11114-5de1-4ddf-9bc3-671a972aca1f
LP-SM-1-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=672458f7-5788-43e5-a540-6328dbdb21f6
AS-SM-1-2024-ELSE-1,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=5968d24d-6637-4033-80c2-1186b9f40ee0
AS-SM-1-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=a20d2a78-144f-4124-bb66-2cf4dd8448f3
AS-SM-1-2024-ELSE-1,Pliego de absolución de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=0dd23e47-3963-4bae-ab94-4e53194c8c13
AS-SM-1-2024-ELSE-1,Bases Integradas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=e78c89f8-21df-4315-aa1b-a206e546d87d
AS-SM-1-2024-ELSE-1,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=0b0ea606-549f-4d3f-bb67-b6b6ddb595b8
AS-SM-1-2024-ELSE-1,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=b4f69a66-c34f-4f96-84e1-e1c5f98da377
AS-SM-1-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=015b1537-4eb2-4dba-b192-ee55d2806503
AS-SM-1-2024-ELSE-1,Archivos del contrato,contractSigned,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152615867
AS-SM-1-2024-ELSE-1,Archivos de la resolución del contrato,contractAnnexe,,https://prod4.seace.gob.pe:9000/api/con/documentos/descargar/152926952
AS-SM-63-2024-ELSE-1,Bases Administrativas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=b3f4fb8b-17c3-445b-85cf-adddba46ab05
AS-SM-63-2024-ELSE-1,Resumen ejecutivo,biddingDocuments,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=6ddd7420-02bb-4fa2-8a0c-11db1745203b
AS-SM-63-2024-ELSE-1,Informe que sustenta la declaratoria de Desierto,evaluationReports,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=b3796fa6-b068-4bbd-9b37-4a7a54b293c9
AS-SM-63-2024-ELSE-1,Pliego de absolución de consultas y observaciones,clarifications,pdf,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=59cde059-6014-4465-a981-a3d98a9f5d97
AS-SM-63-2024-ELSE-1,Bases Integradas,biddingDocuments,docx,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=6302467e-dcdd-49b9-91d8-d82196a18c7c
AS-SM-63-2024-ELSE-1,Documentos de Presentación de Propuestas,biddingDocuments,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=369c6024-8055-47b9-a869-278ed172bab1
AS-SM-63-2024-ELSE-1,Documentos de Calificación y Evaluación,evaluationReports,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=f4f3cb93-b9d7-459e-9dcc-9aeeee91f6a9
AS-SM-63-2024-ELSE-1,Documentos de Otorgamiento de Buena Pro,awardNotice,zip,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=d0c9941f-e540-4677-b0e0-39b26a7e3a3c
